"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/04/2023","AQS","490352005","1","4.3","ug/m3 LC","18","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/05/2023","AQS","490352005","1","2.5","ug/m3 LC","10","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/06/2023","AQS","490352005","1","1.7","ug/m3 LC","7","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/07/2023","AQS","490352005","1","8.6","ug/m3 LC","36","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/08/2023","AQS","490352005","1","11.6","ug/m3 LC","48","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/09/2023","AQS","490352005","1","3.7","ug/m3 LC","15","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/10/2023","AQS","490352005","1","2.3","ug/m3 LC","10","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/11/2023","AQS","490352005","1","3.4","ug/m3 LC","14","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/12/2023","AQS","490352005","1","9.6","ug/m3 LC","40","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/13/2023","AQS","490352005","1","3.1","ug/m3 LC","13","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/14/2023","AQS","490352005","1","1.5","ug/m3 LC","6","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/15/2023","AQS","490352005","1","1.8","ug/m3 LC","8","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/16/2023","AQS","490352005","1","3.1","ug/m3 LC","13","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/17/2023","AQS","490352005","1","5.8","ug/m3 LC","24","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/18/2023","AQS","490352005","1","5.1","ug/m3 LC","21","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/19/2023","AQS","490352005","1","2.9","ug/m3 LC","12","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/20/2023","AQS","490352005","1","1.3","ug/m3 LC","5","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/21/2023","AQS","490352005","1","3.7","ug/m3 LC","15","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/22/2023","AQS","490352005","1","1.4","ug/m3 LC","6","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/23/2023","AQS","490352005","1","1.1","ug/m3 LC","5","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/24/2023","AQS","490352005","1","1.6","ug/m3 LC","7","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/25/2023","AQS","490352005","1","1","ug/m3 LC","4","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/26/2023","AQS","490352005","1","1.4","ug/m3 LC","6","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/27/2023","AQS","490352005","1","1.9","ug/m3 LC","8","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/28/2023","AQS","490352005","1","3.2","ug/m3 LC","13","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/29/2023","AQS","490352005","1","3.4","ug/m3 LC","14","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/30/2023","AQS","490352005","1","1.5","ug/m3 LC","6","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/31/2023","AQS","490352005","1","1.7","ug/m3 LC","7","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/01/2023","AQS","490352005","1","2.8","ug/m3 LC","12","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/02/2023","AQS","490352005","1","1.6","ug/m3 LC","7","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/03/2023","AQS","490352005","1","2","ug/m3 LC","8","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/04/2023","AQS","490352005","1","1.9","ug/m3 LC","8","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/05/2023","AQS","490352005","1","2.7","ug/m3 LC","11","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/06/2023","AQS","490352005","1","4","ug/m3 LC","17","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/07/2023","AQS","490352005","1","4.6","ug/m3 LC","19","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/08/2023","AQS","490352005","1","4.4","ug/m3 LC","18","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/09/2023","AQS","490352005","1","5.2","ug/m3 LC","22","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/10/2023","AQS","490352005","1","5.8","ug/m3 LC","24","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/11/2023","AQS","490352005","1","6.4","ug/m3 LC","27","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/12/2023","AQS","490352005","1","11.9","ug/m3 LC","50","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/13/2023","AQS","490352005","1","2.5","ug/m3 LC","10","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/14/2023","AQS","490352005","1","3.7","ug/m3 LC","15","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/15/2023","AQS","490352005","1","4.7","ug/m3 LC","20","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
